province,city,lat,lon
北京市,市辖区,39.9,116.4
天津市,市辖区,39.1,117.2
河北省,石家庄市,38.1,114.5
河北省,唐山市,39.6,118.2
河北省,秦皇岛市,39.9,119.6
河北省,邯郸市,36.6,114.5
河北省,邢台市,37.1,115.0
河北省,保定市,38.9,115.5
河北省,张家口市,40.8,114.9
河北省,承德市,41.0,118.0
河北省,沧州市,38.3,116.8
河北省,廊坊市,39.5,116.7
河北省,衡水市,37.7,115.7
山西省,太原市,37.9,112.6
山西省,大同市,40.1,113.3
山西省,阳泉市,37.9,113.6
山西省,长治市,36.2,113.1
山西省,晋城市,35.5,112.9
山西省,朔州市,39.3,112.4
山西省,晋中市,37.7,112.8
山西省,运城市,35.0,111.0
山西省,忻州市,38.4,112.7
山西省,临汾市,36.1,111.5
山西省,吕梁市,37.5,111.2
内蒙古自治区,呼和浩特市,40.8,111.8
内蒙古自治区,包头市,40.7,109.8
内蒙古自治区,乌海市,39.7,106.8
内蒙古自治区,赤峰市,42.3,118.9
内蒙古自治区,通辽市,43.7,122.3
内蒙古自治区,鄂尔多斯市,39.6,109.8
内蒙古自治区,呼伦贝尔市,49.2,119.8
内蒙古自治区,巴彦淖尔市,40.7,107.4
内蒙古自治区,乌兰察布市,41.0,113.1
内蒙古自治区,兴安盟,46.1,122.0
内蒙古自治区,锡林郭勒盟,43.9,116.1
内蒙古自治区,阿拉善盟,38.9,105.7
辽宁省,沈阳市,41.7,123.5
辽宁省,大连市,38.9,121.6
辽宁省,鞍山市,41.1,123.0
辽宁省,抚顺市,41.9,124.0
辽宁省,本溪市,41.5,123.7
辽宁省,丹东市,40.0,124.4
辽宁省,锦州市,41.1,121.1
辽宁省,营口市,40.7,122.2
辽宁省,阜新市,42.0,121.7
辽宁省,辽阳市,41.3,123.2
辽宁省,盘锦市,41.1,122.1
辽宁省,铁岭市,42.2,123.7
辽宁省,朝阳市,41.6,120.5
辽宁省,葫芦岛市,40.7,120.8
吉林省,长春市,43.8,125.3
吉林省,吉林市,43.8,126.6
吉林省,四平市,43.2,124.4
吉林省,辽源市,42.9,125.2
吉林省,通化市,41.7,125.9
吉林省,白山市,41.9,126.4
吉林省,松原市,45.1,124.8
吉林省,白城市,45.6,122.8
吉林省,延边朝鲜族自治州,42.9,129.5
黑龙江省,哈尔滨市,45.8,126.5
黑龙江省,齐齐哈尔市,47.4,123.9
黑龙江省,鸡西市,45.3,131.0
黑龙江省,鹤岗市,47.4,130.3
黑龙江省,双鸭山市,46.7,131.2
黑龙江省,大庆市,46.6,125.1
黑龙江省,伊春市,47.7,128.8
黑龙江省,佳木斯市,46.8,130.3
黑龙江省,七台河市,45.8,131.0
黑龙江省,牡丹江市,44.6,129.6
黑龙江省,黑河市,50.3,127.5
黑龙江省,绥化市,46.7,127.0
黑龙江省,大兴安岭地区,50.4,124.2
上海市,市辖区,31.2,121.5
江苏省,南京市,32.1,118.8
江苏省,无锡市,31.5,120.3
江苏省,徐州市,34.2,117.3
江苏省,常州市,31.8,120.0
江苏省,苏州市,31.3,120.6
江苏省,南通市,32.0,120.9
江苏省,连云港市,34.6,119.2
江苏省,淮安市,33.6,119.0
江苏省,盐城市,33.4,120.2
江苏省,扬州市,32.4,119.4
江苏省,镇江市,32.2,119.4
江苏省,泰州市,32.5,119.9
江苏省,宿迁市,34.0,118.3
浙江省,杭州市,30.3,120.2
浙江省,宁波市,29.9,121.6
浙江省,温州市,28.0,120.7
浙江省,嘉兴市,30.8,120.8
浙江省,湖州市,30.9,120.1
浙江省,绍兴市,30.0,120.6
浙江省,金华市,29.1,119.7
浙江省,衢州市,29.0,118.9
浙江省,舟山市,30.0,122.2
浙江省,台州市,28.7,121.4
浙江省,丽水市,28.5,119.9
安徽省,合肥市,31.8,117.2
安徽省,芜湖市,31.4,118.4
安徽省,蚌埠市,32.9,117.4
安徽省,淮南市,32.6,117.0
安徽省,马鞍山市,31.7,118.5
安徽省,淮北市,34.0,116.8
安徽省,铜陵市,31.0,117.8
安徽省,安庆市,30.5,117.1
安徽省,黄山市,29.7,118.3
安徽省,滁州市,32.3,118.3
安徽省,阜阳市,32.9,115.8
安徽省,宿州市,33.7,117.0
安徽省,六安市,31.7,116.5
安徽省,亳州市,33.9,115.8
安徽省,池州市,30.7,117.5
安徽省,宣城市,30.9,118.8
福建省,福州市,26.1,119.3
福建省,厦门市,24.5,118.1
福建省,莆田市,25.5,119.0
福建省,三明市,26.3,117.6
福建省,泉州市,24.9,118.7
福建省,漳州市,24.5,117.7
福建省,南平市,26.6,118.2
福建省,龙岩市,25.1,117.0
福建省,宁德市,26.7,119.6
江西省,南昌市,28.7,115.9
江西省,景德镇市,29.3,117.2
江西省,萍乡市,27.6,113.9
江西省,九江市,29.7,116.0
江西省,新余市,27.8,114.9
江西省,鹰潭市,28.3,117.1
江西省,赣州市,25.8,114.9
江西省,吉安市,27.1,115.0
江西省,宜春市,27.8,114.4
江西省,抚州市,28.0,116.4
江西省,上饶市,28.5,117.9
山东省,济南市,36.7,117.1
山东省,青岛市,36.1,120.4
山东省,淄博市,36.8,118.1
山东省,枣庄市,34.8,117.3
山东省,东营市,37.4,118.7
山东省,烟台市,37.5,121.5
山东省,潍坊市,36.7,119.2
山东省,济宁市,35.4,116.6
山东省,泰安市,36.2,117.1
山东省,威海市,37.5,122.1
山东省,日照市,35.4,119.5
山东省,临沂市,35.1,118.4
山东省,德州市,37.4,116.4
山东省,聊城市,36.5,116.0
山东省,滨州市,37.4,118.0
山东省,菏泽市,35.2,115.5
河南省,郑州市,34.8,113.6
河南省,开封市,34.8,114.3
河南省,洛阳市,34.6,112.5
河南省,平顶山市,33.8,113.2
河南省,安阳市,36.1,114.4
河南省,鹤壁市,35.8,114.3
河南省,新乡市,35.3,113.9
河南省,焦作市,35.2,113.2
河南省,濮阳市,35.8,115.0
河南省,许昌市,34.0,113.9
河南省,漯河市,33.6,114.0
河南省,三门峡市,34.8,111.2
河南省,南阳市,33.0,112.5
河南省,商丘市,34.4,115.7
河南省,信阳市,32.2,114.1
河南省,周口市,33.6,114.7
河南省,驻马店市,33.0,114.0
湖北省,武汉市,30.6,114.3
湖北省,黄石市,30.2,115.0
湖北省,十堰市,32.6,110.8
湖北省,宜昌市,30.7,111.3
湖北省,襄阳市,32.0,112.1
湖北省,鄂州市,30.4,114.9
湖北省,荆门市,31.0,112.2
湖北省,孝感市,30.9,113.9
湖北省,荆州市,30.3,112.2
湖北省,黄冈市,30.5,114.9
湖北省,咸宁市,29.8,114.3
湖北省,随州市,31.7,113.4
湖北省,恩施土家族苗族自治州,30.3,109.5
湖南省,长沙市,28.2,112.9
湖南省,株洲市,27.8,113.1
湖南省,湘潭市,27.8,113.0
湖南省,衡阳市,26.9,112.6
湖南省,邵阳市,27.2,111.5
湖南省,岳阳市,29.4,113.1
湖南省,常德市,29.0,111.7
湖南省,张家界市,29.1,110.5
湖南省,益阳市,28.6,112.4
湖南省,郴州市,25.8,113.0
湖南省,永州市,26.4,111.6
湖南省,怀化市,27.6,110.0
湖南省,娄底市,27.7,112.0
湖南省,湘西土家族苗族自治州,28.3,109.7
广东省,广州市,23.1,113.3
广东省,韶关市,24.8,113.6
广东省,深圳市,22.5,114.1
广东省,珠海市,22.3,113.6
广东省,汕头市,23.4,116.7
广东省,佛山市,23.0,113.1
广东省,江门市,22.6,113.1
广东省,湛江市,21.3,110.4
